id,student_id,skill_name,category,proficiency_level,progress_pct,is_verified,verification_source,certification_issuer,certification_date,credential_id,credential_url,evidence_url
3c1d78b8-5290-4513-b5ac-d6785f2f65a5,621a9c6d-e226-4ff0-a22c-2e72a6a48abe,SQL,Database,INTERMEDIATE,39.6,True,Coursera,Coursera,2026-07-27,CRED-DC9380035E,https://credentials.example.com/CRED-DC9380035E,https://credentials.example.com/CRED-DC9380035E
fe74785e-d047-4b95-a71e-8cead5ebe4a0,34e502c2-fa06-4e5b-afef-98abbff7cfce,Node.js,Web Development,BEGINNER,44.0,False,,,,,,
769c55ad-7daa-438b-b78c-603ab2b99d87,34e502c2-fa06-4e5b-afef-98abbff7cfce,C++,Programming,EXPERT,99.9,False,,,,,,
98a24771-2dbb-4e8c-ada2-118c8a66fdaa,2c3d1809-b161-465f-9647-776b20a08b71,Node.js,Web Development,ADVANCED,89.9,True,Microsoft,Microsoft,2026-04-29,CRED-22A90DB7CD,https://credentials.example.com/CRED-22A90DB7CD,https://credentials.example.com/CRED-22A90DB7CD
e7fba9ec-ac0a-49b2-bdf4-b7e15b226201,2c3d1809-b161-465f-9647-776b20a08b71,Power BI,Data Analytics,BEGINNER,42.0,False,,,,,,
edad00d4-2b76-4d0a-97cb-c98218ecc4d7,2c3d1809-b161-465f-9647-776b20a08b71,JavaScript,Programming,BEGINNER,20.2,False,,,,,,
3bd324ff-7770-45ad-ba96-e9cb516b72da,2c3d1809-b161-465f-9647-776b20a08b71,Figma,Design,ADVANCED,71.6,True,Udemy,Udemy,2026-07-22,CRED-237BF6B949,https://credentials.example.com/CRED-237BF6B949,https://credentials.example.com/CRED-237BF6B949
3f7fb6f3-d434-43f9-975e-23ffdbac4ac7,2c3d1809-b161-465f-9647-776b20a08b71,Git,Tools,INTERMEDIATE,68.3,False,,,,,,
d6619764-c3f8-4919-bd44-dbb951b3220f,60f7d907-739c-4a83-b7a5-e0c7c2f8c831,Docker,DevOps,INTERMEDIATE,43.0,False,,,,,,
96cbafb9-ff35-47e1-ba06-88f3b5bcc446,60f7d907-739c-4a83-b7a5-e0c7c2f8c831,AWS,Cloud,INTERMEDIATE,77.5,False,,,,,,
bdc1078f-674d-41d8-bc30-c3e986607039,60f7d907-739c-4a83-b7a5-e0c7c2f8c831,MongoDB,Database,BEGINNER,22.9,False,,,,,,
8476b99a-5bfd-46d5-b4c5-841de5590263,60f7d907-739c-4a83-b7a5-e0c7c2f8c831,Machine Learning,AI/ML,INTERMEDIATE,54.4,False,,,,,,
66d55d8b-0749-4f5e-a4f2-685bb925373d,60f7d907-739c-4a83-b7a5-e0c7c2f8c831,React,Web Development,INTERMEDIATE,51.5,False,,,,,,
bd76e403-fa85-4f21-b2e2-1fdb8fb118fe,3b41dfe4-59c5-4f15-ade6-d306f55f22f9,Deep Learning,AI/ML,ADVANCED,79.8,False,,,,,,
e548a4d5-72a4-464d-8a03-7f23afd4a941,3b41dfe4-59c5-4f15-ade6-d306f55f22f9,Machine Learning,AI/ML,INTERMEDIATE,63.0,False,,,,,,
0b550086-d4cd-4a12-b102-80d8e19ca7af,b59261e4-5561-4347-b2fe-b2d57d216e4e,Docker,DevOps,INTERMEDIATE,62.0,True,NPTEL,NPTEL,2025-01-01,CRED-9E2529E66B,https://credentials.example.com/CRED-9E2529E66B,https://credentials.example.com/CRED-9E2529E66B
1c12cbdb-f4c0-4db7-a210-21a4b2f205fd,4b13df1a-81b9-4031-8a44-e4a93d035ee6,Node.js,Web Development,BEGINNER,32.0,False,,,,,,
