id,faculty_id,course_id,section,academic_year,semester,assigned_at
f1ad036a-dac6-566c-a82e-b51af25d0c30,15ca48fc-df67-512c-815e-c085107e9c59,f8b6ad01-594d-5e52-b325-ed9eb13211e1,A,2026-27,2,2026-07-20
4a690a38-2bc2-5026-bc00-56585693df4c,aea15467-f034-51f8-bc1b-18594762d5ce,f27d152a-f613-51a3-aea8-0506e5d24c3a,A,2026-27,2,2026-07-19
5a1cffca-ff79-5390-8bcd-53d85219acc7,3a618d80-06ca-5715-898b-c91424935f9c,5297007a-130e-5341-af7a-4e9027c2dadf,A,2026-27,2,2026-07-20
8c07208d-7735-5abc-93e4-55278fa5759e,aea15467-f034-51f8-bc1b-18594762d5ce,c8e42f25-4acd-5f8b-8bce-f0cab27cc71f,A,2026-27,2,2026-07-18
70fb505f-6199-50e0-a03b-ff50e42ffd7e,fe5c93f6-e5a4-508d-aa3d-61d3961e79b6,5ceb5573-0231-5d70-848b-193fcfdb644c,A,2026-27,2,2026-07-17
f08de1cc-ced1-51ce-8893-dfaf7cee98fb,d800e811-1ab0-565d-8548-728e67072757,29f10515-0a52-55f4-896b-fa882e11e38e,E,2026-27,6,2026-07-19
9e80374a-7667-5ee7-afbb-f01ecd39803f,096bae8a-b448-52a4-b11b-94f573db47d7,2bc3bd90-0760-5d47-9467-5a5992c412e5,E,2026-27,6,2026-07-23
17c1bf80-e124-5831-97a2-fcf35df79d23,fe5c93f6-e5a4-508d-aa3d-61d3961e79b6,d9518e1b-06ba-5f43-b6b9-67d017eaae5d,E,2026-27,6,2026-07-17
9daf8c3c-3e31-52d6-8770-ab71572bcb0c,d0409be6-f753-5863-8426-94a84553a16e,005078bd-c539-5c44-a631-7e7dd9fb778c,E,2026-27,6,2026-07-18
64b57056-f984-563b-a7ac-2225d61cd9be,3a618d80-06ca-5715-898b-c91424935f9c,539f9c66-84f9-5b19-943a-cb15d62bbc33,E,2026-27,6,2026-07-24
1c900fa5-1b53-53f9-b71d-95dbe8275ccf,096bae8a-b448-52a4-b11b-94f573db47d7,f8b6ad01-594d-5e52-b325-ed9eb13211e1,D,2026-27,2,2026-07-20
ba3c9f48-5733-54b2-a36b-6ec51ab5a06a,e22bf2b6-38c3-5617-9c4a-0acd181581d6,f27d152a-f613-51a3-aea8-0506e5d24c3a,D,2026-27,2,2026-07-24
a6e5f98e-85da-537f-8128-1895cc6a2c05,3a618d80-06ca-5715-898b-c91424935f9c,5297007a-130e-5341-af7a-4e9027c2dadf,D,2026-27,2,2026-07-24
6c59e884-68f1-5a78-95b9-3937619c34d7,c21ecdfa-6821-58f3-80ad-01ad42723c64,c8e42f25-4acd-5f8b-8bce-f0cab27cc71f,D,2026-27,2,2026-07-20
2470abb3-0b26-5afa-8765-6376472bfd73,fe5c93f6-e5a4-508d-aa3d-61d3961e79b6,5ceb5573-0231-5d70-848b-193fcfdb644c,D,2026-27,2,2026-07-16
badd3601-a736-56fe-b47c-807dbcddb71e,c21ecdfa-6821-58f3-80ad-01ad42723c64,29f10515-0a52-55f4-896b-fa882e11e38e,C,2026-27,6,2026-07-16
b26089e7-0675-5e78-b145-0d5d73f7c292,a4aa6329-cf7f-5e3f-958c-df3fbeeac2f0,2bc3bd90-0760-5d47-9467-5a5992c412e5,C,2026-27,6,2026-07-18
d9a5e294-2e50-52a1-98f8-733506b77b75,d800e811-1ab0-565d-8548-728e67072757,d9518e1b-06ba-5f43-b6b9-67d017eaae5d,C,2026-27,6,2026-07-15
423a4ba7-eeeb-5062-87f7-441af201399f,be990cb0-426f-5d38-9745-d477c185f5eb,005078bd-c539-5c44-a631-7e7dd9fb778c,C,2026-27,6,2026-07-21
9f5cb254-3758-536c-8513-2448db591852,a4aa6329-cf7f-5e3f-958c-df3fbeeac2f0,539f9c66-84f9-5b19-943a-cb15d62bbc33,C,2026-27,6,2026-07-22
3e33d591-43bd-5af2-a6b0-9b9848cf6bb1,15ca48fc-df67-512c-815e-c085107e9c59,29f10515-0a52-55f4-896b-fa882e11e38e,A,2026-27,6,2026-07-20
88cf3e61-d499-5175-8bb8-9f3c5838f2af,096bae8a-b448-52a4-b11b-94f573db47d7,2bc3bd90-0760-5d47-9467-5a5992c412e5,A,2026-27,6,2026-07-18
ac3ff420-6729-5bad-8119-fa06f0a32f04,d800e811-1ab0-565d-8548-728e67072757,d9518e1b-06ba-5f43-b6b9-67d017eaae5d,A,2026-27,6,2026-07-20
0f6259fe-58e6-5797-bc7b-3b9f320b248e,be990cb0-426f-5d38-9745-d477c185f5eb,005078bd-c539-5c44-a631-7e7dd9fb778c,A,2026-27,6,2026-07-15
446c2a2b-bacd-5e8e-bfad-6870dc9248ed,3a618d80-06ca-5715-898b-c91424935f9c,539f9c66-84f9-5b19-943a-cb15d62bbc33,A,2026-27,6,2026-07-15
2de9f775-9beb-54f4-8bdb-92b2ed861644,b84eb5f1-c2a0-59d4-9839-df45cf02a21f,f8b6ad01-594d-5e52-b325-ed9eb13211e1,C,2026-27,2,2026-07-23
fa704eed-d6c1-58a2-92c6-289aca79d7ab,fe5c93f6-e5a4-508d-aa3d-61d3961e79b6,f27d152a-f613-51a3-aea8-0506e5d24c3a,C,2026-27,2,2026-07-15
0f0fc662-6945-5823-8fce-9e77c5378e5f,3a618d80-06ca-5715-898b-c91424935f9c,5297007a-130e-5341-af7a-4e9027c2dadf,C,2026-27,2,2026-07-21
b7c34130-1018-5d8d-ae83-b019e3337327,aea15467-f034-51f8-bc1b-18594762d5ce,c8e42f25-4acd-5f8b-8bce-f0cab27cc71f,C,2026-27,2,2026-07-21
3fd496cd-15ef-5689-b359-07df4e7188de,c21ecdfa-6821-58f3-80ad-01ad42723c64,5ceb5573-0231-5d70-848b-193fcfdb644c,C,2026-27,2,2026-07-23
49e3c0a0-a543-5ff4-9197-aaca49774584,fe5c93f6-e5a4-508d-aa3d-61d3961e79b6,c697ab81-ffed-5fa6-9b51-be0954571d20,C,2026-27,1,2026-07-19
047327cd-055b-52b6-b21c-33cab2b2e7da,096bae8a-b448-52a4-b11b-94f573db47d7,cc6bfe47-d156-5f3c-a0a6-64be53ff1202,C,2026-27,1,2026-07-23
a94773e6-8bab-59cc-9e6e-7cc5c8786a14,15ca48fc-df67-512c-815e-c085107e9c59,945cbb28-3a50-5ed1-8e70-c416ee3f92f0,C,2026-27,1,2026-07-23
f99dbedc-ecf7-5306-ac99-34af075c6988,be990cb0-426f-5d38-9745-d477c185f5eb,325f5f11-db40-5f00-816d-d66357e36c70,C,2026-27,1,2026-07-17
d757117c-2919-5f3d-80e8-de2d935732a0,3a618d80-06ca-5715-898b-c91424935f9c,817d9a6f-e405-58f8-991b-373c31bd4e25,C,2026-27,1,2026-07-22
a1e9d783-fd78-5573-9e31-248e7a37dd1e,aea15467-f034-51f8-bc1b-18594762d5ce,730c5632-33dc-5e69-a798-6135043a47aa,C,2026-27,4,2026-07-20
26492cc4-9267-523d-9a64-f33654f961df,e22bf2b6-38c3-5617-9c4a-0acd181581d6,21e87180-7538-5689-922d-8889674702ed,C,2026-27,4,2026-07-23
011df744-c4dc-57c0-a15e-c0821a7c45ca,c21ecdfa-6821-58f3-80ad-01ad42723c64,a71f945b-22bf-5921-85a0-cb1acd7cb2e6,C,2026-27,4,2026-07-24
d2916586-1a8f-5fbd-ba73-d6cf65fe8760,b84eb5f1-c2a0-59d4-9839-df45cf02a21f,859db046-894d-53cc-8cb4-3643d0c7f1fe,C,2026-27,4,2026-07-20
052d61d6-53b2-586b-bbd5-7032934ff654,be990cb0-426f-5d38-9745-d477c185f5eb,40d412e8-fc3b-5972-8ff2-90b35de8a2d3,C,2026-27,4,2026-07-23
dd43c66c-fac5-54e0-b7b8-f16d913aedc2,a4aa6329-cf7f-5e3f-958c-df3fbeeac2f0,29f10515-0a52-55f4-896b-fa882e11e38e,D,2026-27,6,2026-07-21
9fdce4c8-6641-57bb-9972-cb5fe97f6330,d800e811-1ab0-565d-8548-728e67072757,2bc3bd90-0760-5d47-9467-5a5992c412e5,D,2026-27,6,2026-07-21
3e9870ce-274b-563e-853f-1311bd88a135,fe5c93f6-e5a4-508d-aa3d-61d3961e79b6,d9518e1b-06ba-5f43-b6b9-67d017eaae5d,D,2026-27,6,2026-07-19
f9004c1f-7820-5198-93e0-faedb78e6f73,be990cb0-426f-5d38-9745-d477c185f5eb,005078bd-c539-5c44-a631-7e7dd9fb778c,D,2026-27,6,2026-07-23
0fe133c9-08c0-5819-bee4-18a1d1496728,fe5c93f6-e5a4-508d-aa3d-61d3961e79b6,539f9c66-84f9-5b19-943a-cb15d62bbc33,D,2026-27,6,2026-07-24
468fcb88-3fb2-5358-ae70-4759a78f877e,aea15467-f034-51f8-bc1b-18594762d5ce,730c5632-33dc-5e69-a798-6135043a47aa,E,2026-27,4,2026-07-23
1c479b60-ea78-55eb-8df6-9c4fb65159a1,aea15467-f034-51f8-bc1b-18594762d5ce,21e87180-7538-5689-922d-8889674702ed,E,2026-27,4,2026-07-20
f39a71af-3478-5efe-9149-d5423b6f0d33,c21ecdfa-6821-58f3-80ad-01ad42723c64,a71f945b-22bf-5921-85a0-cb1acd7cb2e6,E,2026-27,4,2026-07-20
d14db4e5-703e-5019-8dad-e669b74db48f,b84eb5f1-c2a0-59d4-9839-df45cf02a21f,859db046-894d-53cc-8cb4-3643d0c7f1fe,E,2026-27,4,2026-07-17
3f18df79-31cc-5aed-a978-c1e456129311,b84eb5f1-c2a0-59d4-9839-df45cf02a21f,40d412e8-fc3b-5972-8ff2-90b35de8a2d3,E,2026-27,4,2026-07-17
22228514-5e33-585c-afce-1654d64ae963,aea15467-f034-51f8-bc1b-18594762d5ce,730c5632-33dc-5e69-a798-6135043a47aa,D,2026-27,4,2026-07-22
b1501982-9502-52d9-8b9f-72393f6d467b,d0409be6-f753-5863-8426-94a84553a16e,21e87180-7538-5689-922d-8889674702ed,D,2026-27,4,2026-07-17
7b968e0a-2b28-52f5-9ab3-5710c73a2787,c21ecdfa-6821-58f3-80ad-01ad42723c64,a71f945b-22bf-5921-85a0-cb1acd7cb2e6,D,2026-27,4,2026-07-21
bea08e61-5a3f-5123-b9d2-cdb68bbd224f,b84eb5f1-c2a0-59d4-9839-df45cf02a21f,859db046-894d-53cc-8cb4-3643d0c7f1fe,D,2026-27,4,2026-07-20
57762c99-f468-5ba0-bebc-24e820e9fae8,15ca48fc-df67-512c-815e-c085107e9c59,40d412e8-fc3b-5972-8ff2-90b35de8a2d3,D,2026-27,4,2026-07-18
f356f036-f9db-52a6-a769-497fb7c7c615,d0409be6-f753-5863-8426-94a84553a16e,c697ab81-ffed-5fa6-9b51-be0954571d20,E,2026-27,1,2026-07-22
ce4b5ec0-f606-5996-85a6-5a1bd4249312,b84eb5f1-c2a0-59d4-9839-df45cf02a21f,cc6bfe47-d156-5f3c-a0a6-64be53ff1202,E,2026-27,1,2026-07-18
b949f382-6664-568a-a4d9-76b6f33b811b,15ca48fc-df67-512c-815e-c085107e9c59,945cbb28-3a50-5ed1-8e70-c416ee3f92f0,E,2026-27,1,2026-07-24
c5f508be-ea6f-5b47-82f6-bd6fad2c8a38,be990cb0-426f-5d38-9745-d477c185f5eb,325f5f11-db40-5f00-816d-d66357e36c70,E,2026-27,1,2026-07-24
7c914cd9-82f1-51f5-a576-beac41ad9f33,e22bf2b6-38c3-5617-9c4a-0acd181581d6,817d9a6f-e405-58f8-991b-373c31bd4e25,E,2026-27,1,2026-07-22
95491656-0ff0-5a72-9ad6-f547cba46e5d,aea15467-f034-51f8-bc1b-18594762d5ce,730c5632-33dc-5e69-a798-6135043a47aa,A,2026-27,4,2026-07-17
8d989bf6-a272-5b91-bc31-4a827c5449f5,fe5c93f6-e5a4-508d-aa3d-61d3961e79b6,21e87180-7538-5689-922d-8889674702ed,A,2026-27,4,2026-07-21
b7c86df1-b6e0-5416-bec7-40812deccb01,c21ecdfa-6821-58f3-80ad-01ad42723c64,a71f945b-22bf-5921-85a0-cb1acd7cb2e6,A,2026-27,4,2026-07-20
91d7b2c8-28f6-5d38-b51e-6cf8b629b170,b84eb5f1-c2a0-59d4-9839-df45cf02a21f,859db046-894d-53cc-8cb4-3643d0c7f1fe,A,2026-27,4,2026-07-23
7f6295dd-e928-5067-bcb1-aaa19930afba,096bae8a-b448-52a4-b11b-94f573db47d7,40d412e8-fc3b-5972-8ff2-90b35de8a2d3,A,2026-27,4,2026-07-19
c5a9934a-fee3-5cd5-8d27-7825d6ef3cab,fe5c93f6-e5a4-508d-aa3d-61d3961e79b6,c697ab81-ffed-5fa6-9b51-be0954571d20,B,2026-27,1,2026-07-21
2c29d5d6-c5d9-5fd7-8bd7-9560f3d5b61e,3a618d80-06ca-5715-898b-c91424935f9c,cc6bfe47-d156-5f3c-a0a6-64be53ff1202,B,2026-27,1,2026-07-21
1aae9403-7f5e-59a2-bfdb-cfba05ccf6f3,a4aa6329-cf7f-5e3f-958c-df3fbeeac2f0,945cbb28-3a50-5ed1-8e70-c416ee3f92f0,B,2026-27,1,2026-07-20
ce881ab3-b33c-51b9-9fa9-de76ed2dd64a,e22bf2b6-38c3-5617-9c4a-0acd181581d6,325f5f11-db40-5f00-816d-d66357e36c70,B,2026-27,1,2026-07-24
9fe3ea20-12a0-5c18-b6cf-a5d44b63809b,c21ecdfa-6821-58f3-80ad-01ad42723c64,817d9a6f-e405-58f8-991b-373c31bd4e25,B,2026-27,1,2026-07-20
21ad3bdc-6441-51a2-927f-e6cda96fe577,a4aa6329-cf7f-5e3f-958c-df3fbeeac2f0,c697ab81-ffed-5fa6-9b51-be0954571d20,D,2026-27,1,2026-07-24
b4379d2c-5fff-5e3b-bd20-ad7f603c846c,3a618d80-06ca-5715-898b-c91424935f9c,cc6bfe47-d156-5f3c-a0a6-64be53ff1202,D,2026-27,1,2026-07-19
2ba23856-4468-5777-b1dc-90da5fc06b59,be990cb0-426f-5d38-9745-d477c185f5eb,945cbb28-3a50-5ed1-8e70-c416ee3f92f0,D,2026-27,1,2026-07-15
39287f51-d73b-5220-a5ac-dfc6fead4a64,fe5c93f6-e5a4-508d-aa3d-61d3961e79b6,325f5f11-db40-5f00-816d-d66357e36c70,D,2026-27,1,2026-07-15
4be606fc-193f-583e-aeb8-e2665950f400,fe5c93f6-e5a4-508d-aa3d-61d3961e79b6,817d9a6f-e405-58f8-991b-373c31bd4e25,D,2026-27,1,2026-07-17
45d8dfd0-3db8-522f-a66e-9dcb8df992bb,d0409be6-f753-5863-8426-94a84553a16e,f8b6ad01-594d-5e52-b325-ed9eb13211e1,B,2026-27,2,2026-07-19
06b5a587-229f-5c53-8844-1fa0ec4829ee,15ca48fc-df67-512c-815e-c085107e9c59,f27d152a-f613-51a3-aea8-0506e5d24c3a,B,2026-27,2,2026-07-15
cdc6fa60-937c-5c49-8dbc-0cad1276c21d,3a618d80-06ca-5715-898b-c91424935f9c,5297007a-130e-5341-af7a-4e9027c2dadf,B,2026-27,2,2026-07-24
696385c1-bbae-53bd-9c80-571532e2ad91,aea15467-f034-51f8-bc1b-18594762d5ce,c8e42f25-4acd-5f8b-8bce-f0cab27cc71f,B,2026-27,2,2026-07-21
533354ac-34e4-5135-9008-7d879936dae5,fe5c93f6-e5a4-508d-aa3d-61d3961e79b6,5ceb5573-0231-5d70-848b-193fcfdb644c,B,2026-27,2,2026-07-18
9d3faeef-754f-5c71-8987-d57875608366,d800e811-1ab0-565d-8548-728e67072757,c697ab81-ffed-5fa6-9b51-be0954571d20,A,2026-27,1,2026-07-23
5d89e596-2900-598e-bcac-797bad51aca2,e22bf2b6-38c3-5617-9c4a-0acd181581d6,cc6bfe47-d156-5f3c-a0a6-64be53ff1202,A,2026-27,1,2026-07-15
a4eb63e1-7a95-5751-9567-d19161a46369,15ca48fc-df67-512c-815e-c085107e9c59,945cbb28-3a50-5ed1-8e70-c416ee3f92f0,A,2026-27,1,2026-07-21
c51a9b48-1ad7-515f-ab54-d177adaab8f1,b84eb5f1-c2a0-59d4-9839-df45cf02a21f,325f5f11-db40-5f00-816d-d66357e36c70,A,2026-27,1,2026-07-19
57215015-39ae-5d69-8fb5-c2abd6a01fbb,b84eb5f1-c2a0-59d4-9839-df45cf02a21f,817d9a6f-e405-58f8-991b-373c31bd4e25,A,2026-27,1,2026-07-21
b48f8d42-fe5d-5a31-b68b-8d9b2307faf0,aea15467-f034-51f8-bc1b-18594762d5ce,730c5632-33dc-5e69-a798-6135043a47aa,B,2026-27,4,2026-07-23
30b70202-48f1-5276-9735-d4c11ce7ea77,3a618d80-06ca-5715-898b-c91424935f9c,21e87180-7538-5689-922d-8889674702ed,B,2026-27,4,2026-07-16
307e7e48-96a5-5cbf-8f25-2d39082194dc,c21ecdfa-6821-58f3-80ad-01ad42723c64,a71f945b-22bf-5921-85a0-cb1acd7cb2e6,B,2026-27,4,2026-07-24
5d73ba13-3d3e-5735-b81d-cd94e7cc97f6,b84eb5f1-c2a0-59d4-9839-df45cf02a21f,859db046-894d-53cc-8cb4-3643d0c7f1fe,B,2026-27,4,2026-07-17
505ae45a-8df2-52b7-b5c3-58c63435ab1a,aea15467-f034-51f8-bc1b-18594762d5ce,40d412e8-fc3b-5972-8ff2-90b35de8a2d3,B,2026-27,4,2026-07-17
