id,enrollment_id,faculty_id,attendance_date,status,remarks,marked_at
1e100b98-2cf0-46ce-a4ce-01b7dc7dc291,d642c6dc-5d4a-2f70-453a-03c8316b422b,15ca48fc-df67-512c-815e-c085107e9c59,2026-07-27,PRESENT,,2026-07-27 13:00:00
1a9ac02e-bf90-4857-97f0-53a97395aacd,d642c6dc-5d4a-2f70-453a-03c8316b422b,15ca48fc-df67-512c-815e-c085107e9c59,2026-07-30,PRESENT,,2026-07-30 15:00:00
3c85e658-7cee-429b-943f-9180ed641aef,d642c6dc-5d4a-2f70-453a-03c8316b422b,15ca48fc-df67-512c-815e-c085107e9c59,2026-08-05,PRESENT,,2026-08-05 09:00:00
f4e21d02-ba41-4208-9c63-ffc779976cee,d642c6dc-5d4a-2f70-453a-03c8316b422b,15ca48fc-df67-512c-815e-c085107e9c59,2026-08-10,PRESENT,,2026-08-10 10:00:00
606268f6-7ab4-4635-bfa0-ef3688dd89c5,d642c6dc-5d4a-2f70-453a-03c8316b422b,15ca48fc-df67-512c-815e-c085107e9c59,2026-08-18,EXCUSED,Medical leave,2026-08-18 13:00:00
3e98c80d-3ef9-422b-8957-e9dd386cb146,d642c6dc-5d4a-2f70-453a-03c8316b422b,15ca48fc-df67-512c-815e-c085107e9c59,2026-09-10,PRESENT,,2026-09-10 13:00:00
b2eedc16-99d7-4028-838b-c790d6fc5a71,f8d3e647-8d4e-dc3a-c8f5-3f4b0d097695,aea15467-f034-51f8-bc1b-18594762d5ce,2026-07-20,PRESENT,,2026-07-20 09:00:00
6a8794e6-bf4e-42f6-b857-163cbada063d,f8d3e647-8d4e-dc3a-c8f5-3f4b0d097695,aea15467-f034-51f8-bc1b-18594762d5ce,2026-07-23,PRESENT,,2026-07-23 14:00:00
031e011f-537b-49e3-9a27-5ca1e2f7b54e,f8d3e647-8d4e-dc3a-c8f5-3f4b0d097695,aea15467-f034-51f8-bc1b-18594762d5ce,2026-07-27,PRESENT,,2026-07-27 13:00:00
010da903-8950-439c-a95c-4c78119a0811,f8d3e647-8d4e-dc3a-c8f5-3f4b0d097695,aea15467-f034-51f8-bc1b-18594762d5ce,2026-07-28,PRESENT,,2026-07-28 16:00:00
7934bac4-8372-4c16-af54-fc506fcffb22,f8d3e647-8d4e-dc3a-c8f5-3f4b0d097695,aea15467-f034-51f8-bc1b-18594762d5ce,2026-07-31,PRESENT,,2026-07-31 12:00:00
a53ee88a-1be5-4d53-bc20-822b4def4bf1,f8d3e647-8d4e-dc3a-c8f5-3f4b0d097695,aea15467-f034-51f8-bc1b-18594762d5ce,2026-08-08,ABSENT,,2026-08-08 11:00:00
7e02f99a-c7a1-45ea-8638-bd16843eb101,f8d3e647-8d4e-dc3a-c8f5-3f4b0d097695,aea15467-f034-51f8-bc1b-18594762d5ce,2026-08-10,PRESENT,,2026-08-10 10:00:00
ee561509-4b30-4e1a-a97d-be6f604f7a44,f8d3e647-8d4e-dc3a-c8f5-3f4b0d097695,aea15467-f034-51f8-bc1b-18594762d5ce,2026-08-12,PRESENT,,2026-08-12 13:00:00
927ef9c9-e7aa-4400-9384-6c70df1d058a,f8d3e647-8d4e-dc3a-c8f5-3f4b0d097695,aea15467-f034-51f8-bc1b-18594762d5ce,2026-08-14,PRESENT,,2026-08-14 16:00:00
5a27ef74-7b75-493b-b682-199dbab7fda3,f8d3e647-8d4e-dc3a-c8f5-3f4b0d097695,aea15467-f034-51f8-bc1b-18594762d5ce,2026-08-16,PRESENT,,2026-08-16 14:00:00
f69bbfe5-f62d-4a4f-b054-e6e9b8bfc896,f8d3e647-8d4e-dc3a-c8f5-3f4b0d097695,aea15467-f034-51f8-bc1b-18594762d5ce,2026-08-19,ABSENT,,2026-08-19 09:00:00
e2ebca48-94e9-4d3b-9f38-c32faa370de8,f8d3e647-8d4e-dc3a-c8f5-3f4b0d097695,aea15467-f034-51f8-bc1b-18594762d5ce,2026-08-25,PRESENT,,2026-08-25 10:00:00
574374a0-de54-4d75-9e0e-85817fd426d4,f8d3e647-8d4e-dc3a-c8f5-3f4b0d097695,aea15467-f034-51f8-bc1b-18594762d5ce,2026-09-04,PRESENT,,2026-09-04 15:00:00
46ba76ce-6094-4752-915d-440424695b24,f8d3e647-8d4e-dc3a-c8f5-3f4b0d097695,aea15467-f034-51f8-bc1b-18594762d5ce,2026-09-12,PRESENT,,2026-09-12 11:00:00
79e07150-051b-4486-bc7b-40718a443fd0,688c3cc5-77c7-c48a-af4e-7f5afcd24255,3a618d80-06ca-5715-898b-c91424935f9c,2026-07-20,PRESENT,,2026-07-20 09:00:00
2c30337c-b064-4360-b78c-4de494c7994e,688c3cc5-77c7-c48a-af4e-7f5afcd24255,3a618d80-06ca-5715-898b-c91424935f9c,2026-07-22,PRESENT,,2026-07-22 11:00:00
bfc8bedf-8c5b-4770-8647-889df0057fec,688c3cc5-77c7-c48a-af4e-7f5afcd24255,3a618d80-06ca-5715-898b-c91424935f9c,2026-07-23,EXCUSED,,2026-07-23 14:00:00
dfbdf720-297b-42a4-b303-6b24ab018812,688c3cc5-77c7-c48a-af4e-7f5afcd24255,3a618d80-06ca-5715-898b-c91424935f9c,2026-08-04,PRESENT,,2026-08-04 11:00:00
